Compound,m.z,method,high.confidence.annotation,compound.name,hmdb,kegg,inchikey,fingerprints
HILp_QI2014__N1-methyl-2-pyridone-5-carboxamide,153.0662,HILIC-pos,True,N1-Methyl-2-pyridone-5-carboxamide,HMDB0004193,C05842,JLQSXXWTCJPCBC-UHFFFAOYSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000110000000000110000011000000000000100000000100000000000000011010000000000000000000000100010000000001000100001010101100101000000000000100000000000000000000000001000000000000000000000000010000000100000000001000010000000000001001000000010000000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000010001000000111000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI56__glycochenodeoxycholate,448.307,C18-neg,True,Chenodeoxycholic acid glycine conjugate,HMDB0000637,C05466,GHCZAUBVMUEKKP-GYPHWSFCSA-N,11110000011110100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001111000000000000100000000100000000000000000000000111100010100111000011000000000000110000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100001000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000001100110001110100011110100100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000
C18n_QI74__1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate,259.0724,C18-neg,True,"L-1,2,3,4-Tetrahydro-beta-carboline-3-carboxylic acid",HMDB0035665,,,
HILn_QI125__UMP,323.0291,HILIC-neg,True,Uridine 5'-monophosphate,HMDB0000288,C00105,DJJCXFVJDGTHFX-XVFCMESISA-N,11000000011100110011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000100000000000000000100000010100111000011000000000000110000000010000000000000011110000000000011100010000100010000100000000100001010101100101000010000000100000000000000000000000000000000000001000000000000010000000000000000000000010000000000001000000100000110001000000000010000000001000000000000000000011100100000000000000000011110001011100100010000100110000000011000000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI120__NH4_C38:4 DAG,662.5719,C8-pos,True,,,,,
HILp_QI20478__urobilin,595.3502,HILIC-pos,False,D-Urobilin,HMDB0004161,C05795,DOKCNDVEPDZOJQ-RWPZCVJISA-N,11110000011111111011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001111000000100000000101000100010010010110010011001001000000000101010000000001100100101111100100101110000000000100000101000000000100000001000010000001000100000000010001001100110100001001110000100010011011000000010000010000001110010110000001101000010010001100001000100000000001000011001001001011000000000110010001100100100000111100110001101100111110011100111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI207__C56:2 TAG,937.817,C8-pos,False,TG(18:0/18:1(9Z)/20:1(11Z)),HMDB0005404,C00422,,
HILn_TF17__tartarate,149.0092,HILIC-neg,True,Tartaric acid,HMDB0000956,C00898,FEWJPZIEWOKRBE-JCYAYHJZSA-N,10000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000010001000000010100000000000000000000000000000000000100000000000000000001010010000000000000000000010000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI53__C24:1 Ceramide (d18:1),648.6289,C8-pos,False,Cer(d18:1/24:1(15Z)),HMDB0004953,C00195,,
HILp_TF5__biotin,245.096,HILIC-pos,True,Biotin,HMDB0000030,C00120,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,11100000011100110011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000001111000000100000100000000100000000000000000000000100000101000110001011100000000000100100000010000100000000010110000000000001000001000000010000000000000000000100100000001100000000000000000000000000000000000000000000000000000010000000000000000000010000001000010000000000000000000100000000100000000010010001000001000000000000000000101000100000000000000000011000001011000000010001000000000000000000001100110001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI33__C38:4 PC,810.5969,C8-pos,False,"PC(18:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008048,C00157,,
C8p_QI210__NH4_C56:1 TAG,934.8789,C8-pos,True,,,,,
HILn_QI14__4-hydroxybenzeneacetonitrile,132.0456,HILIC-neg,True,4-Hydroxybenzeneacetonitrile,HMDB0029757,C03766,AYKYOOPFBCOXSL-UHFFFAOYSA-N,10000000011100100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000000000000100000000000000000000000110000000100100000011001100000000000001100000000011010000000000000000000001000000000100100000000011000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010001010011000100010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000001111100000001100000010000000000011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI79__leucine,130.0874,HILIC-neg,False,L-Leucine,HMDB0000687,C00123,ROHFNLRQFUQHCH-YFKPBYRVSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000100010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI109__sebacate,201.1134,HILIC-neg,False,Sebacic acid,HMDB0000792,C08277,CXMXRPHRNRROMY-UHFFFAOYSA-N,11100000011100000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF49__S-adenosylmethionine,399.145,HILIC-pos,True,S-Adenosylmethionine,HMDB0001185,C00019,MEFKEPWMEQBLKI-AIRLBKTGSA-N,11100000011100111011100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000100000100000000100000000000000000000000100000111100111001011101011100000110100001111111100010111111010011000001011000001000101010000000000100000110111100010110110000000000100000001000000000101101000100010001000010110000000000010101000010100001101010000101010000010000100000110101100000010010011000001100100001000000000111100100010000001000000011110001000000000010111100110000000000100000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
